datetime,DXY open,DXY high,DXY low,DXY close
2023-12-05 22:00:00+00:00,103.95,103.972,103.941,103.947
2023-12-06 13:00:00+00:00,104.061,104.061,103.886,103.9
2023-12-06 14:00:00+00:00,103.9,103.996,103.867,103.932
2023-12-06 15:00:00+00:00,103.932,104.015,103.875,103.956
2023-12-06 16:00:00+00:00,103.956,104.02,103.872,103.978
2023-12-06 17:00:00+00:00,103.977,104.038,103.947,104.036
2023-12-06 18:00:00+00:00,104.036,104.122,104.014,104.055
2023-12-06 19:00:00+00:00,104.055,104.166,104.047,104.153
2023-12-06 20:00:00+00:00,104.153,104.233,104.148,104.203
2023-12-06 21:00:00+00:00,104.203,104.203,104.174,104.179
2023-12-06 22:00:00+00:00,104.18,104.18,104.143,104.148
2023-12-07 13:00:00+00:00,103.936,103.977,103.689,103.748
2023-12-07 14:00:00+00:00,103.749,103.907,103.738,103.907
2023-12-07 15:00:00+00:00,103.907,103.937,103.668,103.721
2023-12-07 16:00:00+00:00,103.722,103.73,103.627,103.66
2023-12-07 17:00:00+00:00,103.66,103.725,103.272,103.432
2023-12-07 18:00:00+00:00,103.43,103.543,103.425,103.495
2023-12-07 19:00:00+00:00,103.496,103.547,103.478,103.541
2023-12-07 20:00:00+00:00,103.541,103.594,103.507,103.594
2023-12-07 21:00:00+00:00,103.594,103.669,103.593,103.644
2023-12-07 22:00:00+00:00,103.644,103.658,103.627,103.655
2023-12-08 13:00:00+00:00,103.785,104.263,103.764,104.01
2023-12-08 14:00:00+00:00,104.008,104.218,103.98,104.038
2023-12-08 15:00:00+00:00,104.038,104.039,103.715,103.906
2023-12-08 16:00:00+00:00,103.905,104.119,103.879,104.11
2023-12-08 17:00:00+00:00,104.11,104.165,104.018,104.024
2023-12-08 18:00:00+00:00,104.024,104.05,103.979,104.02
2023-12-08 19:00:00+00:00,104.02,104.022,103.972,104.01
2023-12-08 20:00:00+00:00,104.01,104.022,103.961,103.983
2023-12-08 21:00:00+00:00,103.984,103.999,103.977,103.983
2023-12-11 13:00:00+00:00,104.108,104.188,104.053,104.076
2023-12-11 14:00:00+00:00,104.076,104.208,104.069,104.14
2023-12-11 15:00:00+00:00,104.141,104.242,104.077,104.229
2023-12-11 16:00:00+00:00,104.229,104.262,104.196,104.222
2023-12-11 17:00:00+00:00,104.223,104.26,104.158,104.254
2023-12-11 18:00:00+00:00,104.254,104.262,104.075,104.081
2023-12-11 19:00:00+00:00,104.082,104.104,104.029,104.095
2023-12-11 20:00:00+00:00,104.095,104.108,104.074,104.079
2023-12-11 21:00:00+00:00,104.079,104.09,104.071,104.077
2023-12-11 22:00:00+00:00,104.077,104.099,104.077,104.081
2023-12-12 13:00:00+00:00,103.747,104.005,103.487,103.984
2023-12-12 14:00:00+00:00,103.983,104.096,103.774,104.033
2023-12-12 15:00:00+00:00,104.033,104.073,103.87,103.912
2023-12-12 16:00:00+00:00,103.912,103.932,103.837,103.89
2023-12-12 17:00:00+00:00,103.889,103.948,103.845,103.914
2023-12-12 18:00:00+00:00,103.914,103.924,103.813,103.856
2023-12-12 19:00:00+00:00,103.856,103.887,103.849,103.865
2023-12-12 20:00:00+00:00,103.864,103.873,103.792,103.801
2023-12-12 21:00:00+00:00,103.801,103.818,103.782,103.815
2023-12-12 22:00:00+00:00,103.816,103.824,103.798,103.799
2023-12-13 13:00:00+00:00,103.959,103.96,103.74,103.751
2023-12-13 14:00:00+00:00,103.752,103.904,103.675,103.847
2023-12-13 15:00:00+00:00,103.849,103.925,103.804,103.815
2023-12-13 16:00:00+00:00,103.815,103.875,103.796,103.836
2023-12-13 17:00:00+00:00,103.836,103.909,103.801,103.906
2023-12-13 18:00:00+00:00,103.907,103.953,103.862,103.883
2023-12-13 19:00:00+00:00,103.883,103.886,102.822,102.869
2023-12-13 20:00:00+00:00,102.869,103.049,102.777,102.897
2023-12-13 21:00:00+00:00,102.897,102.964,102.884,102.953
2023-12-13 22:00:00+00:00,102.952,102.954,102.823,102.897
2023-12-14 13:00:00+00:00,102.364,102.57,102.215,102.273
